Transaction Date	Post Date	Description	Category	Type	Amount	Memo
11/5/2025	11/6/2025	CIRCLE K 09900	Gas	Sale	-20.8	
11/5/2025	11/6/2025	OPENAI	Shopping	Sale	-10	
11/4/2025	11/4/2025	PURCHASE INTEREST CHARGE	Fees & Adjustments	Fee	-5.06	
11/4/2025	11/4/2025	PLAN FEE - APPLE.COM/US	Fees & Adjustments	Fee	-3.68	
10/27/2025	10/27/2025	Payment Thank You-Mobile		Payment	100	
10/4/2025	10/5/2025	Payment Thank You-Mobile		Payment	5.22	
10/3/2025	10/3/2025	PURCHASE INTEREST CHARGE	Fees & Adjustments	Fee	-7.32	
10/3/2025	10/3/2025	PLAN FEE - APPLE.COM/US	Fees & Adjustments	Fee	-3.68	
10/1/2025	10/2/2025	AMAZON MKTPL*NV3K60G70	Shopping	Sale	-8.1	
9/26/2025	9/28/2025	Amazon.com*NZ0O782Z3	Shopping	Sale	-15.26	
9/26/2025	9/26/2025	Payment Thank You-Mobile		Payment	30	
9/25/2025	9/25/2025	Amazon.com*QE5Z99AB3	Shopping	Sale	-7.17	
9/20/2025	9/21/2025	APPLE.COM/US	Shopping	Sale	-272.06	
9/10/2025	9/10/2025	Payment Thank You-Mobile		Payment	165	
9/7/2025	9/8/2025	USCONNECT PGISR MRKTVE	Food & Drink	Sale	-3.8	
9/6/2025	9/7/2025	AMAZON MKTPL*9G2UE1X73	Shopping	Sale	-38.84	
9/6/2025	9/7/2025	Amazon.com*TO1UZ1QY3	Shopping	Sale	-14.92	
9/3/2025	9/3/2025	Payment Thank You-Mobile		Payment	160.88	
9/2/2025	9/3/2025	AMAZON MKTPL*NU9EO9693	Shopping	Sale	-34.77	
8/26/2025	8/26/2025	AMAZON MKTPL*9A5WK7KM3	Shopping	Sale	-13.81	
8/16/2025	8/17/2025	AMAZON MKTPL*EA2QY67Z3	Shopping	Sale	-114.94	
8/15/2025	8/15/2025	Payment Thank You-Mobile		Payment	100	
8/12/2025	8/12/2025	Amazon.com*2L6VC3BE3	Shopping	Sale	-12.47	
8/10/2025	8/11/2025	AMAZON MKTPL*C67NH2JD3	Shopping	Sale	-153.08	Office desk
8/10/2025	8/10/2025	Payment Thank You-Mobile		Payment	200	
8/5/2025	8/5/2025	Payment Thank You-Mobile		Payment	48.12	
8/4/2025	8/4/2025	PURCHASE INTEREST CHARGE	Fees & Adjustments	Fee	-9.19	
8/4/2025	8/4/2025	PURCHASE INTEREST CHARGE	Fees & Adjustments	Fee	-1.37	
7/31/2025	8/1/2025	Amazon.com*P84GU9VR3	Shopping	Sale	-7.17	
7/24/2025	7/24/2025	Payment Thank You-Mobile		Payment	80	
7/22/2025	7/23/2025	AMAZON MKTPL*4S32N1ZW3	Shopping	Sale	-39.6	
7/22/2025	7/23/2025	AMAZON MKTPL*WZ1J76KM3	Shopping	Sale	-21.79	
7/23/2025	7/23/2025	Amazon.com*ZJ2RN80L3	Shopping	Sale	-15.09	
7/21/2025	7/22/2025	AMAZON MKTPL*M65CY2FL3	Shopping	Sale	-18.62	
7/19/2025	7/20/2025	MCDONALD'S F32477	Food & Drink	Sale	-11.53	
7/14/2025	7/15/2025	USCONNECT PGISR MRKTVE	Food & Drink	Sale	-4.34	
7/12/2025	7/13/2025	USCONNECT PGISR MRKTVE	Food & Drink	Sale	-4.34	
7/6/2025	7/8/2025	USCONNECT PGISR VEND N	Food & Drink	Sale	-1.65	
7/4/2025	7/4/2025	PURCHASE INTEREST CHARGE	Fees & Adjustments	Fee	-9.76	
7/1/2025	7/1/2025	AUTOMATIC PAYMENT - THANK		Payment	48.15	
