Details	Posting Date	Description	Amount	Type	Balance	Check or Slip                                    #
CREDIT	11/10/2025	PYMT RCVD PAYPAL*DOE JOHN SAN JOSE CA	227.7	MISC_CREDIT	 	
DEBIT	11/10/2025	POS DEBIT USCONNECT PGISR MRKTVE SALT LAKE CI UT 0488	-1.63	MISC_DEBIT	 	
DEBIT	11/10/2025	POS DEBIT USCONNECT PGISR MRKTVE SALT LAKE CI UT 5840	-3.8	MISC_DEBIT	 	
DEBIT	11/10/2025	ONLINE TRANSFER TO SAV ...5840 TRANSACTION                                           #: 26889131973	-100	ACCT_XFER	 	
DEBIT	11/8/2025	POS DEBIT USCONNECT PGISR MRKTVE SALT LAKE CI UT 5840	-3.8	MISC_DEBIT	 	
CREDIT	11/7/2025	AMAZON.COM SVCS PAYROLL PPD ID: 9111111103	29.39	ACH_CREDIT	137.1	
CREDIT	11/7/2025	ROBINHOOD CREDITS PPD ID: 5321710001	150.97	MISC_CREDIT	107.71	
CREDIT	11/6/2025	Online Transfer from SAV ...5840 transaction                                         #: 26863520347	10	ACCT_XFER	-43.26	
DEBIT	11/5/2025	PAYPAL *UBER EATS 866-576-1039 CA 11/05	-7.19	DEBIT_CARD	-53.26	
DEBIT	11/5/2025	PAYPAL *UBER EATS 866-576-1039 CA 11/04	-55.4	DEBIT_CARD	-46.07	
DEBIT	11/5/2025	MONEYGRAM US ONLINE https://www.m TX 11/04	-306.99	DEBIT_CARD	9.33	
CREDIT	11/5/2025	ODP TRANSFER FROM SAVINGS ...5840	7.19	MISC_CREDIT	316.32	
DEBIT	11/4/2025	QUARTDAY TECHNOL IAT PAYPAL 1045949119645 WEB ID: 770510487C	-5.99	MISC_DEBIT	309.13	
DEBIT	11/4/2025	Extra Extra IEYJA9X5V WEB ID: 1830866845	-3.3	MISC_DEBIT	315.12	
CREDIT	11/4/2025	ROBINHOOD CREDITS PPD ID: 5321710001	24.39	MISC_CREDIT	318.42	
CREDIT	11/4/2025	Online Transfer from SAV ...5840 transaction                                         #: 26836101845	26	ACCT_XFER	294.03	
DEBIT	11/4/2025	PAYPAL*DOE JOHN VISA DIRECT CA 343887 11/04	256.47	DEBIT_CARD	268.03	
DEBIT	11/3/2025	USCONNECT PGISR VEND SALT LAKE CIT UT 11/02	-1.65	DEBIT_CARD	11.56	
DEBIT	11/3/2025	USCONNECT PGISR VEND SALT LAKE CIT UT 11/01	-1.65	DEBIT_CARD	13.21	
DEBIT	11/3/2025	Extra Extra IEYJVEK2V WEB ID: 1830866845	-14.94	MISC_DEBIT	14.86	
CREDIT	10/31/2025	AMAZON.COM SVCS PAYROLL PPD ID: 9111111103	29.8	ACH_CREDIT	29.8	
DEBIT	10/30/2025	PAYPAL *UBER EATS 866-576-1039 CA 10/30	-8.09	DEBIT_CARD	0	
DEBIT	10/30/2025	PAYPAL *UBER EATS 866-576-1039 CA 10/30	-76.9	DEBIT_CARD	8.09	
DEBIT	10/30/2025	MCDONALD'S F23659 DENVER CO 10/29	-8.2	DEBIT_CARD	84.99	
DEBIT	10/30/2025	PAYPAL*DOE JOHN SAN JOSE CA 479547 10/30	62.88	DEBIT_CARD	93.19	
